,user_location,tweet_text,date
0,"Seattle, WA","46F in #Seattle w light rain &amp; 9.22mph winds, 87% humidity https://t.co/pqaWPWZG3t https://t.co/P1hdiwkCN9",2021-03-19 01:00:36
1,"West Seattle, Washington","These ✨NEW✨ crayons are great for kids and cat lovers! 🐱🐱🐱
.
.
.

#luvnwaf #shoplocal #shopsmall #smallbuisness #seattle #seattlesmallbuisness #seattlesmallbiz #westseattle #wsjunction #wsjunction #pnw #crayons #cats #giftideasforkids https://t.co/FDjKnQLkdk",2021-03-19 01:00:04
2,"Seattle, WA","“This is a big win for grocery store employees who have been critical and vulnerable frontline workers since the start of the pandemic,” #Seattle City Attorney Pete Holmes said. https://t.co/Ya3xMqIoB4",2021-03-19 00:56:17
3,Seattle,"Luxury penthouse is exceptionally designed and offers space for comfort and refined living. Floor-to-ceiling windows provides views of the city, mountains &amp; Space Needle. Offered at $3,300,000
#windermere #luxuryliving #realestate #condo #Seattle https://t.co/Dv57SCeZyH",2021-03-19 00:53:15
4,"Seattle, WA","6pm SEATTLE HERE &amp; NOW with John Yasutake
Guests Ms. Rhonda Kay - business owner, a Federal Contractor, community activist
&amp; Ms. Shaude Moore, Chair @MLKSeattle 
#WomensHistoryMonth #RadioShow #Seattle 

https://t.co/smc5MZvBIR",2021-03-19 00:52:47
5,Hawaii/West Coast,#Seattle church hit w/ anti-Asian graffiti written in hay for 4th time - ABC News ⁦@StopAAPIHate⁩ ⁦@angryasianman⁩ ⁦@CAAM⁩ ⁦@aapress⁩ ⁦@AsArticulations⁩ ⁦@AsArticulations⁩ ⁦@RepJayapal⁩ ⁦@PattyMurray⁩ https://t.co/mzDSgdjAt4,2021-03-19 00:52:32
6,"Washington, USA","Rain City

Graphic Tees and Hoodies

https://t.co/drwr69Mvib

#seattle
#pnw
#206
#253
#425
#tees
#graphictees
#graphictshirts 
#graphichoodie 
#hoodies
#neckofthehood https://t.co/TUMImF8MbG",2021-03-19 00:50:59
7,"Boston, MA","9PM ET - Reverend Billy Radio
Tenderness During Extinction
Activate Radio - https://t.co/6hOC2CeNel
#news #occupy #boston #dorchester #roxbury #jamaicaplain #lowell #worcester #fallriver #providence #nyc #chicago #seattle https://t.co/4tTAxeGwSQ",2021-03-19 00:47:03
8,"California, USA","We love the smell of galvanized steel in the morning.
#construction #steel #contractor #constructions #architecture #constructionworker #constructionsite  #constructioncompany #metal #welding #metalworks #building #constructionwork #LosAngeles #portland #seattle #pacificnorthwest https://t.co/ap7L6XXtS7",2021-03-19 00:39:56
9,Michigan USA,"TRUTH
 #Detroit #Chicago #ATL #NYC #vegas #Miami #Seattle #SanFrancisco #Dallas #Houston #Washington @MaddowBlog @stevebenen https://t.co/XAyzXhb0xl",2021-03-19 00:38:28
10,"Port Townsend, WA","When people complain  re long  cop response time , it’s b/c your local cops are just being neofascist  #ToolsOfOligarchs  cracking down freedom of speech/assembly &amp;👇🏽—one of many reasons to #DefundThePolice 

#Seattle #Portland  #WhyDoYouVoteForShittyFashyLocalOfficials 🤔 https://t.co/kbnv3srL8v",2021-03-19 00:36:08
11,"Tukwila, WA","Did you know #KingCountyWA residents speak 170 different languages?  We are proud to be one of the many bookstores that serve our beautiful and diverse local community.  

@BNBuzz @JoannaHoWrites #kidsbooks #kidsbookswelove #communitysupport #communitylove #seattle #tukwila https://t.co/mVvpceeB10",2021-03-19 00:33:54
12,"Seattle, WA","I'm all about buses and transit, but if there's one thing I can commit to the next 8 years is that we're building more protected-bike lanes (for all Ages Abilities and 100% Accessibility) than ever before.

#Seattle #AGH4PBLs 

https://t.co/Ty2vHKIHsX",2021-03-19 00:31:01
13,USA-WA-Seattle Metro,"JDA TSG is hiring in #Seattle, WA! Click the link in our bio to apply: Customer Engineer Exchange / O365 #IT",2021-03-19 00:30:46
14,"Seattle, WA","46F in #Seattle w moderate rain &amp; 13.8mph winds, 87% humidity https://t.co/pqaWPWZG3t https://t.co/3Q2Gj9W2bR",2021-03-19 00:30:33
15,"Philadelphia, PA",Want to go on a dessert tour of #Seattle? 😄  https://t.co/ETzLBDMC0G #foodie #foodblog #travelbloggers #desserts #travel @LovingBlogs @PLBChat https://t.co/S6P5hmmEp7,2021-03-19 00:30:05
16,"Seattle, WA",Organizations Launch Campaign for Sidewalks and Transit Over Highways - https://t.co/UudvcJMb8p: https://t.co/Zar5YGaXdk #SDOT #WSDOT #Transit #Seattle #Transportation,2021-03-19 00:28:35
17,"Seattle, WA",Seattle lays out 6 big goals for clean transportation future - Puget Sound Business Journal - Puget Sound Business Journal (Seattle): https://t.co/1MxQ21ef2S #SDOT #WSDOT #Transit #Seattle #Transportation,2021-03-19 00:28:34
18,"Seattle, WA",U.S. Sen. Patty Murray seeks a $1.9 billion boost for Sound Transit expansion - Seattle Times: https://t.co/3KfnpXJJAx #SDOT #WSDOT #Transit #Seattle #Transportation,2021-03-19 00:28:33
19,"Boston, MA","BOSTON
45°
light rain
6mph n
humidity: 90%
pressure: 29.88""hg
12 Democracy Now
1 Nuclear Hotseat
2 Talk Nation Radio
3 Economic Update
4 51%
https://t.co/6hOC2CeNel
#news #occupy #boston #dorchester #roxbury #lowell #worcester #fallriver #providence #nyc #chicago #seattle https://t.co/gMeELlKHhY",2021-03-19 00:24:13
20,"Seattle, WA","Believe in yourself!
https://t.co/WTccyMwDlf
#SeattleLoveBroker #Seattle #Washiington #inspiration https://t.co/RMQaxfrlJw",2021-03-19 00:24:04
21,Worldwide,PT time zone | Register for the #UnitedNations 101 for Girls Webinar on Apr 9 at 5pmPT. Students learn about the UN’s work &amp; int'l policy then pass a #UN resolution. #GirlScouts earn a Global Action Award. Tickets ➡️ https://t.co/Cbooz4IJ0O #SanFrancisco #Seattle #LosAngeles,2021-03-19 00:20:01
22,"Duwamish Land (Seattle, WA)",#seattleprotests/#seattleprotest #Seattle https://t.co/u08yNN7t2b,2021-03-19 00:16:09
23,"Seattle, WA ",Thanks to @MOHAI for this opportunity. #homelessness #seattle #publichealth #mentalhealth #NurseTwitter #history #ReadUp History Café: The Important Connections Between Health and Homelessness https://t.co/jncGLCiTh5 via @YouTube,2021-03-19 00:13:16
24,"Arizona, USA","@stinchfield1776 I'm so disgusted, w these CORRUPT, SOROS DA's in CA , #Portland #Seattle #Chicago #DC All #DemCities States , heres a CLEAR CASE rec from #NYC !! Repeat drunk driver, w LOTS OF CASH!!  https://t.co/75CYlTNbmB",2021-03-19 00:12:48
25,"Seattle, WA","Have you ever had a role like ""Deloitte Risk &amp; Financial Advisory Analyst - Technology""? What did you like most about that job? #Accounting #Seattle, WA",2021-03-19 00:09:52
26,"Seattle, WA","After more than year, Seattle region has first head of homelessness authority https://t.co/FMlogrZItS #seattle",2021-03-19 00:09:32
27,"Seattle, WA","NEW: @ClimateArena is starting to really take shape.

These pictures, via the @SeattleKraken, show how the light will shine in &amp; how the bowl will be dramatically different than the old barn that sat here.  

- Late summer completion
- Puck drop October.

@KING5Seattle #Seattle https://t.co/l2cA1jBXWB",2021-03-19 00:06:20
28,"Tacoma, WA & Palm Springs, CA","Roku channel. 

CLICK FOR FILM: https://t.co/26mfoKCK8x

CLICK FOR PRESS RELEASE: https://t.co/UIXt7ViR9w

https://t.co/T9M8lHyYtW via @atSecretsKept 
#KindleUnlimited #books #Kindle #womeninfilm #filmmaking #ebooks #sports #adventure #inspiring #skydiving #Seattle #documentary",2021-03-19 00:05:27
29,,"Anyone who says #Seattle isn’t racist should read the comments on this post about #AntiAsianRacism:

https://t.co/vYQr7harcf

#StopAsianHate #StopAAPIHate #StopAsianHateCrimes",2021-03-19 00:04:20
30,"Seattle, WA","Starbucks is hiring in #Seattle, WA! Read about our latest #Art job opening via the link in our bio: project manager associate, global growth &amp; development",2021-03-19 00:03:10
31,"Seattle, WA","48F in #Seattle w mist &amp; 12.66mph winds, 87% humidity https://t.co/pqaWPWZG3t https://t.co/9yeapSU18H",2021-03-19 00:00:35
32,"Seattle, WA","Across from Pier 55, we excavated an area along Alaskan Way to make space for the installation of a new electrical duct bank. Once installation is completed, the area will be backfilled. 

#WaterfrontSeattle #Seattle #DowntownSeattle https://t.co/ksTQfSjagn",2021-03-19 00:00:30
